COMPONENT,Site Name,Joint Base,State Terr,COUNTRY,Oper Stat,PERIMETER,AREA,Shape_Leng,Shape_Area,latitude,longitude
MC Active,TBR Main,N/A,Georgia,United States,Active,228.6059602,128.6658504,441557.1598,460264988.2,31.54849137,-81.6199877
MC Reserve,Syracuse MCRC,N/A,New York,United States,Active,1.09136432,0.06630363,2507.339506,322248.3768,43.10010111,-76.12109911
AF Active,Tinker Support Annex,N/A,Oklahoma,United States,Active,1.95160534,0.2054024,3991.110704,802518.5464,35.40369658,-97.36030278
AF Active,Fort Fisher Recreation Site,N/A,North Carolina,United States,Active,1.91609877,0.06505427,3808.399255,245658.7383,33.98117032,-77.91645867
AF Active,Barksdale AFB,N/A,Louisiana,United States,Active,28.93687611,34.29115123,57009.23874,125216565.4,32.50028096,-93.59994134
AF Active,Cannon AFB,N/A,New Mexico,United States,Active,12.80012055,6.34170532,25685.00052,24175265.56,34.38401494,-103.3211063
AF Active,Cannon AFB Site 2,N/A,New Mexico,United States,Active,2.82718202,0.4416304,5727.010109,1684506.31,34.40919171,-103.3282443
AF Active,Luke Air Force Auxiliary Field No 1,N/A,Arizona,United States,Active,5.20833523,1.1827716,10415.65006,4439021.882,33.71597428,-112.5279234
AF Guard,Gulfport-Biloxi Regional Airport (ANG),N/A,Mississippi,United States,Active,2.098962,0.1685382,3983.03839,588822.9674,30.4107264,-89.06120865
Army Guard,NG Auburn Training Site,N/A,Maine,United States,Active,3.1868109,0.27550695,7380.897485,1383332.365,44.08629335,-70.28279836
Army Guard,NG Bangor Training Site,N/A,Maine,United States,Active,4.17443097,0.32135006,9700.277998,1653662.555,44.80954829,-68.83339599
Army Guard,NG Santa Fe - Onate Complex TS,N/A,New Mexico,United States,Active,3.4606317,0.51806938,7116.581037,2032434.991,35.56971397,-106.081042
Army Guard,NG TS BBTS,N/A,Delaware,United States,Active,1.55724515,0.156022,3309.382102,661645.4522,38.54757433,-75.06330128
Army Guard,NG Camp Murray,N/A,Washington,United States,Active,3.79694678,0.36012408,9259.348739,2013144.899,47.11671649,-122.56884
Army Guard,NG Williamstown,N/A,West Virginia,United States,Active,2.63769526,0.16075273,5637.208395,697250.5191,39.35312589,-81.44211006
Army Guard,NG Camp Mabry,N/A,Texas,United States,Active,3.51353317,0.57523732,6672.35406,2005962.33,30.31861061,-97.76157206
Army Guard,NG Mitchell Complex,N/A,South Dakota,United States,Active,1.30289084,0.09472833,3018.788593,470510.2943,43.76187441,-98.04389342
Navy Active,Imperial Beach NOLF,N/A,California,United States,Active,7.49933392,1.88222068,14797.97275,6882471.143,32.56240315,-117.1120099
Navy Active,NAS Lemoore CA,N/A,California,United States,Active,29.43698735,28.68363602,60168.18882,114664246.9,36.31917965,-119.9339861
Navy Active,Harbor Drive,N/A,California,United States,Active,1.60479076,0.10355526,3163.372355,380021.2312,32.7246963,-117.2184319
AF Active,NGA Arnold Site,N/A,Missouri,United States,Active,0.9408039,0.05376326,1993.330992,227171.9219,38.41618727,-90.398608
AF Active,Nellis AFB,N/A,Nevada,United States,Active,47.38528664,29.83938631,97712.29713,119133023.5,36.26920517,-114.984839
Navy Active,Naval Base Kitsap Bremerton WA,N/A,Washington,United States,Active,5.18728579,0.62789168,12781.12779,3568457.895,47.55559339,-122.6523565
Army Active,Yakima Training Center,Joint Base Lewis - McChord,Washington,United States,Active,119.3062295,511.1210634,288699.2392,2818078804,46.74453091,-120.1657252
Army Active,Shell Basefield AL,N/A,Alabama,United States,Active,2.35801524,0.38200326,4569.609924,1361128.614,31.3626015,-85.84898133
Army Active,Fort George G Meade,N/A,Maryland,United States,Active,21.749239,7.30130972,46658.46152,31447105.54,39.10461709,-76.74544365
Army Active,Scranton AAP,N/A,Pennsylvania,United States,Active,0.61595369,0.02303403,1363.364018,106130.9017,41.40417944,-75.6659088
Army Active,Watervliet Arsenal,N/A,New York,United States,Active,2.72594444,0.20726435,6153.835073,995090.8509,42.71982497,-73.70811905
MC Active,MCLB Albany,N/A,Georgia,United States,Active,17.12342374,5.28920874,33649.91305,18920820.18,31.55089442,-84.05588268
MC Active,MCAS Cherry Point,N/A,North Carolina,United States,Active,53.86377756,17.75227136,108891.0952,68533646.58,34.91207525,-76.8854247
MC Active,Former NTC,N/A,California,United States,Active,1.7148091,0.11175495,3364.789781,410154.3268,32.72935003,-117.2209928
Navy Active,NSA Saratoga Springs NY,N/A,New York,United States,Active,0.83752619,0.03516218,1912.019741,170780.6252,43.0790804,-73.82074007
WHS,Pentagon Building Site,N/A,Virginia,United States,Active,4.98638,0.34395351,10583.16386,1471795.504,38.87191728,-77.05472273
AF Active,Elmendorf AFB,Joint Base Elmendorf - Richardson,Alaska,United States,Active,19.79301824,17.07431075,65893.13408,190701058.7,61.26979941,-149.8111889
AF Guard,Fresno Yosemite International ANG,N/A,California,United States,Active,1.76514843,0.12051507,3706.863079,487323.6663,36.76653512,-119.7100032
AF Active,St Louis Air Force Station,N/A,Missouri,United States,Active,1.21329635,0.04871351,2572.988073,206828.8005,38.59121945,-90.20834282
Army Guard,NG Rickenbacker (MTA),N/A,Ohio,United States,Active,1.79870376,0.1939832,3881.559273,852333.3443,39.80503102,-82.95146253
