Date of Flare,Date of Sighting,Flare occur on date of sighting ,,,,,,
3-May-13,09-Jun-11,No,,,,,,
4-May-13,10-Jun-11,Yes,,,,,,
5-May-13,11-Jun-11,No,,,,,,
6-May-13,12-Jun-11,No,,,,,,
8-May-13,01-Jul-11,No,,,,,,
9-May-13,02-Jul-11,No,,,,,,
10-May-13,03-Jul-11,No,,,,,,
11-May-13,04-Jul-11,No,,,,,,
12-May-13,05-Jul-11,No,,,,,,
13-May-13,06-Jul-11,No,,,,,,
14-May-13,07-Jul-11,No,,,,,,
15-May-13,08-Jul-11,Yes,,,,,,
16-May-13,09-Jul-11,No,,,,,,
17-May-13,10-Jul-11,No,,,,,,
18-May-13,11-Jul-11,No,,,,,,
19-May-13,12-Jul-11,No,,,,,,
20-May-13,01-Aug-11,Yes,,,,,,
21-May-13,02-Aug-11,Yes,,,,,,
22-May-13,03-Aug-11,Yes,,,,,,
23-May-13,04-Aug-11,Yes,,,,,,
24-May-13,05-Aug-11,Yes,,,,,,
25-May-13,06-Aug-11,Yes,,,,,,
26-May-13,07-Aug-11,Yes,,,,,,
31-May-13,08-Aug-11,Yes,,,,,,
3-Jun-13,09-Aug-11,Yes,,,,,,
5-Jun-13,10-Aug-11,Yes,,,,,,
7-Jun-13,11-Aug-11,Yes,,,,,,
19-Jun-13,12-Aug-11,No,,,,,,
21-Jun-13,01-Sep-11,No,,,,,,
22-Jun-13,02-Sep-11,No,,,,,,
24-Jun-13,03-Sep-11,Yes,,,,,,
28-Jun-13,04-Sep-11,Yes,,,,,,
1-Jul-13,05-Sep-11,Yes,,,,,,
2-Jul-13,06-Sep-11,Yes,,,,,,
3-Jul-13,07-Sep-11,Yes,,,,,,
4-Jul-13,08-Sep-11,Yes,,,,,,
5-Jul-13,09-Sep-11,No,,,,,,
6-Jul-13,10-Sep-11,No,,,,,,
7-Jul-13,11-Sep-11,Yes,,,,,,
9-Jul-13,12-Sep-11,Yes,,,,,,
10-Jul-13,01-Oct-11,Yes,,,,,,
11-Jul-13,02-Oct-11,Yes,,,,,,
12-Jul-13,03-Oct-11,Yes,,,,,,
15-Jul-13,04-Oct-11,Yes,,,,,,
16-Jul-13,05-Oct-11,Yes,,,,,,
20-Jul-13,06-Oct-11,No,,,,,,
21-Jul-13,07-Oct-11,Yes,,,,,,
25-Jul-13,08-Oct-11,No,,,,,,
28-Jul-13,09-Oct-11,No,,,,,,
29-Jul-13,10-Oct-11,Yes,,,,,,
11-Aug-13,11-Oct-11,No,,,,,,
12-Aug-13,12-Oct-11,Yes,,,,,,
13-Aug-13,01-Nov-11,Yes,,,,,,
14-Aug-13,02-Nov-11,Yes,,,,,,
15-Aug-13,03-Nov-11,Yes,,,,,,
16-Aug-13,04-Nov-11,Yes,,,,,,
17-Aug-13,05-Nov-11,Yes,,,,,,
20-Aug-13,06-Nov-11,Yes,,,,,,
21-Aug-13,07-Nov-11,Yes,,,,,,
31-Aug-13,08-Nov-11,Yes,,,,,,
1-Sep-13,09-Nov-11,Yes,,,,,,
4-Sep-13,10-Nov-11,Yes,,,,,,
19-Sep-13,11-Nov-11,No,,,,,,
20-Sep-13,12-Nov-11,Yes,,,,,,
2-Oct-13,01-Dec-11,No,,,,,,
4-Oct-13,02-Dec-11,No,,,,,,
6-Oct-13,03-Dec-11,No,,,,,,
7-Oct-13,04-Dec-11,Yes,,,,,,
9-Oct-13,05-Dec-11,Yes,,,,,,
10-Oct-13,06-Dec-11,No,,,,,,
11-Oct-13,07-Dec-11,Yes,,,,,,
12-Oct-13,08-Dec-11,No,,,,,,
13-Oct-13,09-Dec-11,No,,,,,,
14-Oct-13,10-Dec-11,Yes,,,,,,
15-Oct-13,11-Dec-11,No,,,,,,
16-Oct-13,12-Dec-11,Yes,,,,,,
17-Oct-13,01-Jan-12,No,,,,,,
